Customer_name,Customer_country,Customer_type,Review_text,Review_date,Review_text_2,Review_text_3,language_Review_text,sentiment_Review_text,language_Review_text_2,sentiment_Review_text_2,language_Review_text_3,sentiment_Review_text_3,processed_text_Review_text,processed_text_Review_text_2,processed_text_Review_text_3,bad_food,bad_recreation,bad_room,bad_service,negative_review_count,Count Food,Count reacreation,Count room,count service
Ahmed_Hakim,"Cairo, Egypt",Family,Very Bad experiencw,11/19/2025,"I think this one of the worst places I have ever seen. Very bad experince with the reception team. No smiles, they want to charge me for the air I am breathing. They intentionally selected a very far away room although we are a family. They know it is one night so we will have no time to complain and request room change.",,en,negative,en,negative,unknown,unknown,very bad experiencw,"i think this one of the worst places i have ever seen. very bad experince with the reception team. no smiles, they want to charge me for the air i am breathing. they intentionally selected a very far away room although we are a family. they know it is one night so we will have no time to complain and request room change.",,TRUE,FALSE,TRUE,TRUE,2,156,141,167,133
Sammy F,"London, United Kingdom",Couples,Lovely hotel awful service,11/19/2025,"We travelled around Sri Lanka for 2 weeks staying in 6 different hotels, and this was by far the worst service we received out of our entire stay. 

The hotel itself is nice, rooms spacious and clean, pool area is nice. We dined in the a la carte restaurant which was nice. Don’t bother with half board / all inclusive - there’s a handful of restaurants on the beach with better food. 

The worst part is there seems to be some American expectation of tipping for absolutely everything, and if you don’t then you simply won’t get served!! 

Despite many signs around the pool saying sunbeds can’t be reserved, it seems the pool boy is more than happy to reserve these for a tip. I was up at 7:30am (jetlag), and there was just 1 set of sunbeds left despite no one actually being by the pool! We stayed there until midday, and some of the reserved beds only became occupied at 11am! So frustrating for everyone else. One woman took the reservation off and the pool boy flat out refused to give her a towel, even arguing with her! She went and got her own, and by midday no one had come to claim the bed! Awful! 

We went to the bar one night, they saw us walk in. They proceeded to offer every other group table service but us! I had to go to the bar 3 times for menus, drink etc., yet they still charged 10% service! 

On check-out you get shoved in some tiny room round back to pay your bill which is actually quite intimidating. No one asked if we had a nice stay or where we were going next, or even said bye when we left! 

While I do appreciate Sri Lanka is a poor country and tipping is needed, this was the only hotel during our whole trip that had this greedy mentality. We saved hard for this trip and don’t appreciate being treated like lesser people because we don’t have lots of extra money for tips! 

They also seem to have no problem in letting touts in to the hotel who come up to you on your sunbed to sell you a sari! I get that this happens on the beach but they shouldn’t allow them in the hotel grounds.",,en,positive,en,negative,unknown,unknown,lovely hotel awful service,"we travelled around sri lanka for 2 weeks staying in 6 different hotels, and this was by far the worst service we received out of our entire stay. 

the hotel itself is nice, rooms spacious and clean, pool area is nice. we dined in the a la carte restaurant which was nice. don’t bother with half board / all inclusive - there’s a handful of restaurants on the beach with better food. 

the worst part is there seems to be some american expectation of tipping for absolutely everything, and if you don’t then you simply won’t get served!! 

despite many signs around the pool saying sunbeds can’t be reserved, it seems the pool boy is more than happy to reserve these for a tip. i was up at 7:30am (jetlag), and there was just 1 set of sunbeds left despite no one actually being by the pool! we stayed there until midday, and some of the reserved beds only became occupied at 11am! so frustrating for everyone else. one woman took the reservation off and the pool boy flat out refused to give her a towel, even arguing with her! she went and got her own, and by midday no one had come to claim the bed! awful! 

we went to the bar one night, they saw us walk in. they proceeded to offer every other group table service but us! i had to go to the bar 3 times for menus, drink etc., yet they still charged 10% service! 

on check-out you get shoved in some tiny room round back to pay your bill which is actually quite intimidating. no one asked if we had a nice stay or where we were going next, or even said bye when we left! 

while i do appreciate sri lanka is a poor country and tipping is needed, this was the only hotel during our whole trip that had this greedy mentality. we saved hard for this trip and don’t appreciate being treated like lesser people because we don’t have lots of extra money for tips! 

they also seem to have no problem in letting touts in to the hotel who come up to you on your sunbed to sell you a sari! i get that this happens on the beach but they shouldn’t allow them in the hotel grounds.",,TRUE,TRUE,TRUE,TRUE,1,155,141,166,132
Mady Toby,,,stayed 2 nights and i wish we stayed more!!,11/19/2025,"Warm welcome and friendly and helpful staff, located by the beach and having 2 pools for the times of high waves, great ocean view, 2 restaurants and a bar with amazing music, nice daily programs by hotel including activities for children as well as elders, nice music every night by the bar, very good food, clean rooms, excellent service, will recommend and will go again for sure",,en,negative,en,positive,unknown,unknown,stayed 2 nights and i wish we stayed more!!,"warm welcome and friendly and helpful staff, located by the beach and having 2 pools for the times of high waves, great ocean view, 2 restaurants and a bar with amazing music, nice daily programs by hotel including activities for children as well as elders, nice music every night by the bar, very good food, clean rooms, excellent service, will recommend and will go again for sure",,FALSE,FALSE,FALSE,FALSE,1,154,140,165,132
sweden15,"Wimborne Minster, United Kingdom",Couples,Birthday treat,10/19/2025,"Excellent hotel lovely staff. Had a wonderful time. 
I would advised management of this hotel to stop tourist visiting and purchasing from Aida gems Bentota.it would not be somthing you would wish your hotel to be associated with. Extremely poor quality work and dishonesty . You will see many very  poor reviews mounting  to include our own experience. 
I cannot express myself more to keep away from this dealer. Items will break and gems will fall out. You will not receive any interest in after sales service. 
Please please share these reviews to others. Thank you for reading.",,en,positive,en,negative,unknown,unknown,birthday treat,"excellent hotel lovely staff. had a wonderful time. 
i would advised management of this hotel to stop tourist visiting and purchasing from aida gems bentota.it would not be somthing you would wish your hotel to be associated with. extremely poor quality work and dishonesty . you will see many very  poor reviews mounting  to include our own experience. 
i cannot express myself more to keep away from this dealer. items will break and gems will fall out. you will not receive any interest in after sales service. 
please please share these reviews to others. thank you for reading.",,TRUE,FALSE,FALSE,TRUE,1,154,140,165,131
Chamishka K,"Colombo, Sri Lanka",Friends,Downgraded version of Heritance Kandalama,9/19/2025,"Booked this for my office staff trip. Place is absolutely beautiful with necessary amenities. Hotel is very old including most of its architecture. Beach access, facilities, Monster pool makes
 you to feel they are complete. Their dining area is so dark. I think that's one of those dining areas which can attract and impress many. It looks dull. 

Food variation was average. I was expecting Kandalama and Earls level of food variation which I didn't get. But I'm not worried about the food which was available too. Presented course was well balanced. 

Room interior is too old in my opinion. Staff was Okey! Had nothing to complain about. Time for an upgrade though. This hotel can easily become the best in Ahungalle",,en,negative,en,positive,unknown,unknown,downgraded version of heritance kandalama,"booked this for my office staff trip. place is absolutely beautiful with necessary amenities. hotel is very old including most of its architecture. beach access, facilities, monster pool makes
 you to feel they are complete. their dining area is so dark. i think that's one of those dining areas which can attract and impress many. it looks dull. 

food variation was average. i was expecting kandalama and earls level of food variation which i didn't get. but i'm not worried about the food which was available too. presented course was well balanced. 

room interior is too old in my opinion. staff was okey! had nothing to complain about. time for an upgrade though. this hotel can easily become the best in ahungalle",,FALSE,FALSE,FALSE,FALSE,1,153,140,165,131
Udara W,,Friends,Unexpected Horrible experience,9/19/2025,"Nothing to say much. Dont go their for offers. Locals are troublemakers for them. Only good thing is food (but limited spred ). Very compact rooms , bathrooms and even dining area. Unfriendly staff. Never expect this..",,en,negative,en,negative,unknown,unknown,unexpected horrible experience,"nothing to say much. dont go their for offers. locals are troublemakers for them. only good thing is food (but limited spred ). very compact rooms , bathrooms and even dining area. unfriendly staff. never expect this..",,FALSE,TRUE,TRUE,TRUE,2,153,140,165,130
Asela Nanayakkara,"Colombo, Sri Lanka",Family,Average hotel and should not be part of Heritance Group,9/19/2025,It was a very warm welcome from the staff. And took so long time for checking process even though it was not a busy time. The room we received was not at the expected quality and filled with flyers. We had to request several times to remove flyers and finally we requested for new room since we were with an infant. Initially they rejected our request and I had to talk to FOM to get a new room. So until 6. 30 pm from the time we checked in (3.30pm). It was such a unpleasant experience. Other room services were all good. Restaurant services and foods was very good. Sleeping in the new room was a night Meare because of the noise came from ceiling. It seems that the room was just below a walking path or some steps. Infant was waking up most of the time because of this noise.,,en,neutral,en,negative,unknown,unknown,average hotel and should not be part of heritance group,it was a very warm welcome from the staff. and took so long time for checking process even though it was not a busy time. the room we received was not at the expected quality and filled with flyers. we had to request several times to remove flyers and finally we requested for new room since we were with an infant. initially they rejected our request and i had to talk to fom to get a new room. so until 6. 30 pm from the time we checked in (3.30pm). it was such a unpleasant experience. other room services were all good. restaurant services and foods was very good. sleeping in the new room was a night meare because of the noise came from ceiling. it seems that the room was just below a walking path or some steps. infant was waking up most of the time because of this noise.,,FALSE,TRUE,TRUE,TRUE,1,153,139,164,129
Chuky333,"Colombo, Sri Lanka",Family,Could’ve been better,8/19/2025,"Me and my family planned this small vacation to Heritance ahungalla because of a recommendation from a friend and after seeing the amazing photos that they have in their website. We stayed in two rooms and the rooms were pretty much normal. The view of the sea was covered from trees as it was in the 1st floor. And basic amenities were there. Nothing to get excited for. Food and the buffet was terrible. Only few options were there for vegetarians. They have not given their attention to minor things. For an example I had to request a different salt shakers during ALL the THREE meals I had during my stay. (One table didn’t have any salt/ pepper shakes, other two times - the salt was stuck in the shaker) . Also the arrangement of the buffet was hideous. Food were all over the place. The variety of food was really poor compared to the price we paid. The pool was amazing though!!! The view and the feeling was spot on ! And top notch!",,nl,neutral,en,negative,unknown,unknown,could’ve been better,"me and my family planned this small vacation to heritance ahungalla because of a recommendation from a friend and after seeing the amazing photos that they have in their website. we stayed in two rooms and the rooms were pretty much normal. the view of the sea was covered from trees as it was in the 1st floor. and basic amenities were there. nothing to get excited for. food and the buffet was terrible. only few options were there for vegetarians. they have not given their attention to minor things. for an example i had to request a different salt shakers during all the three meals i had during my stay. (one table didn’t have any salt/ pepper shakes, other two times - the salt was stuck in the shaker) . also the arrangement of the buffet was hideous. food were all over the place. the variety of food was really poor compared to the price we paid. the pool was amazing though!!! the view and the feeling was spot on ! and top notch!",,TRUE,TRUE,TRUE,FALSE,1,153,138,163,129
Moa'wyah A,,Family,Heritance ahungalla,7/19/2025,"It is very amazing place with most welcoming service, no words can specify this great full experience, the facilities and the staff are very friendly...
The food was great 
All places are comfortable...
Thanks Heritance Ahungalla",,id,negative,en,positive,unknown,unknown,skipla pralla,"it is very amazing place with most welcoming service, no words can specify this great full experience, the facilities and the staff are very friendly...
the food was great 
all places are comfortable...
thanks heritance ahungalla",,FALSE,FALSE,FALSE,FALSE,1,152,137,162,129
Vajira J,,Family,Holiday ruined,7/19/2025,"We checked into the hotel the day before a public holiday. Following day while chatting to a waiter he said there is going to be a huge crowd for lunch hence come by 12:30. Apparently they were going to have about 350 day visitors when the restaurant can accommodate only 175. We had breakfast around 9:00, and no way we could eat again at 12:30. We had no choice but to cut short the holiday and go home. How can a hotel treat its in house guests like this? Instead they should have arranged lunch for day visitors in a separate hall. Everything else was ok.",,en,negative,en,negative,unknown,unknown,holiday ruined,"we checked into the hotel the day before a public holiday. following day while chatting to a waiter he said there is going to be a huge crowd for lunch hence come by 12:30. apparently they were going to have about 350 day visitors when the restaurant can accommodate only 175. we had breakfast around 9:00, and no way we could eat again at 12:30. we had no choice but to cut short the holiday and go home. how can a hotel treat its in house guests like this? instead they should have arranged lunch for day visitors in a separate hall. everything else was ok.",,TRUE,FALSE,TRUE,FALSE,2,152,137,162,129
DilshanK,"Colombo, Sri Lanka",Couples,Great Location. Ancient old rooms & poor Service.,6/19/2025,"We visited to celebrate our anniversary. Even though its quite apparent that we are a couple, a  twin room was provided. In the reservation page its mentioned about a sea view room  (""best perhaps are the private balconies – from where it will seem as if the sunsets are ablaze in glory, just for you""). The photo also showing a sea view room.  But we were given a garden view room in an isolated corner. When inquired the answer was ""sorry sir we are full today"". Its not an excuse.  I must mention that we were not late for our check in . Actually we came around 12.30pm because we planned to have the lunch as well . 
Then moving to the condition of the room itself, It's very old looking small one. The doors were rusted, stained & discolored. The Bathroom is small, ancient & basic. Walls faded & definitely need painting & renovation. Even most of the 2-3 star level hotels provided a much superior rooms than this. 
Neither Toothpaste, toothbrush nor shaving items provided which are expected to be provided in a  5 star hotel. We had to asked for it. When asked  they have provided us with two packs of toothbrushes & only one of them had a tiny toothpaste for us two. Anyway we manged it economically for two days although both of us used to brush teeth after each & every meal. We didn't bring those because all the other five star hotels we have visited have provided them without any fuss & we honestly expected this hotel to be the same standard level.
 I noticed the lack of the shaving kit  only in the next day morning. I knew i had to ask for it again. But as we are checking out anyway i didn't bother the housekeeping staff early in the morning and left my self unsaved for the breakfast. I'm wondering whether they are providing older rooms especailly for the discounted booking offers.
We reserved Heritance Ahungalla thinking that they would provide with the same exceptional service like their Heritance Kandalama which we visited sometime back.  Anyway we have determined to avoid Heritance hotels here after as its not worthy taking any risk ,after our anniversary got totally ruined.
I truly hope you could make some improvements in the future.",May get a ancient room if you have done the reservation is under a promotion/offer,en,positive,en,negative,en,neutral,great location. ancient old rooms & poor service.,"we visited to celebrate our anniversary. even though its quite apparent that we are a couple, a  twin room was provided. in the reservation page its mentioned about a sea view room  (""best perhaps are the private balconies – from where it will seem as if the sunsets are ablaze in glory, just for you""). the photo also showing a sea view room.  but we were given a garden view room in an isolated corner. when inquired the answer was ""sorry sir we are full today"". its not an excuse.  i must mention that we were not late for our check in . actually we came around 12.30pm because we planned to have the lunch as well . 
then moving to the condition of the room itself, it's very old looking small one. the doors were rusted, stained & discolored. the bathroom is small, ancient & basic. walls faded & definitely need painting & renovation. even most of the 2-3 star level hotels provided a much superior rooms than this. 
neither toothpaste, toothbrush nor shaving items provided which are expected to be provided in a  5 star hotel. we had to asked for it. when asked  they have provided us with two packs of toothbrushes & only one of them had a tiny toothpaste for us two. anyway we manged it economically for two days although both of us used to brush teeth after each & every meal. we didn't bring those because all the other five star hotels we have visited have provided them without any fuss & we honestly expected this hotel to be the same standard level.
 i noticed the lack of the shaving kit  only in the next day morning. i knew i had to ask for it again. but as we are checking out anyway i didn't bother the housekeeping staff early in the morning and left my self unsaved for the breakfast. i'm wondering whether they are providing older rooms especailly for the discounted booking offers.
we reserved heritance ahungalla thinking that they would provide with the same exceptional service like their heritance kandalama which we visited sometime back.  anyway we have determined to avoid heritance hotels here after as its not worthy taking any risk ,after our anniversary got totally ruined.
i truly hope you could make some improvements in the future.",may get a ancient room if you have done the reservation is under a promotion/offer,TRUE,TRUE,TRUE,TRUE,1,151,137,161,128
jccoffey,"Melbourne, Australia",Friends,Winding Down at Ahungalla,6/19/2025,"We have just finished a 3 night stay at this 5 star resort, as a wind down at the end of our 14 day JourneyScapes tour. The hotel is on the beach but unless you are a strong swimmer I suggest you stick to the pools! Beautiful at sunset but expect to be harassed by the lovely ladies selling sarongs!
This resort was designed by famous architect, Geoffrey Bawa, is is cleverly constructed with nature and building blending perfectly together, as is the case in Bawa’s beautiful Lunuganga estate nearby. Don’t miss the  old Triton builders’ lift he designed, now displayed in the foyer! The hotel is not new and could do with some renovation in the future, but it offers everything a 5 star resort should, from two large and immaculately clean pools and well tended grounds to excellent service from all staff. Our room attendant, Suranjith, was especially kind and helpful, always with a smile on his face. He even went out of his way to find out the brand of the lovely bath products in our room. 
Food in the main restaurant was buffet style, except for the last evening, when most guests had departed. This menu is extensive, well prepared and delicious! There is an emphasis on amazing Sri Lankan food, but there are sufficient choices to suit even the fussiest diner. We particularly liked the delicious a la carte meal on the last night. There is also a cafe and a Seafood Restaurant. The friendly, informative head chef, Chaluka, told us that where possible the food is sourced locally. So fresh!
We were at the hotel over a weekend and Saturday was very busy, with lots of people coming for the night. Could be very crowded in peak season. However the staff managed the large numbers very professionally. On Sunday we had the pool to ourselves once again!
Our room overlooked one of the pools and was well appointed, with comfortable beds and a large bathroom. Suitable towel rails are lacking however, with the main one over the toilet. However you can ask for new towels whenever you need them. Suranjith decorated our beds every morning with fresh flowers. A lovely touch!
Overall an amazing stay, and a great finish to our holiday!",,en,negative,en,positive,unknown,unknown,winding down at ahungalla,"we have just finished a 3 night stay at this 5 star resort, as a wind down at the end of our 14 day journeyscapes tour. the hotel is on the beach but unless you are a strong swimmer i suggest you stick to the pools! beautiful at sunset but expect to be harassed by the lovely ladies selling sarongs!
this resort was designed by famous architect, geoffrey bawa, is is cleverly constructed with nature and building blending perfectly together, as is the case in bawa’s beautiful lunuganga estate nearby. don’t miss the  old triton builders’ lift he designed, now displayed in the foyer! the hotel is not new and could do with some renovation in the future, but it offers everything a 5 star resort should, from two large and immaculately clean pools and well tended grounds to excellent service from all staff. our room attendant, suranjith, was especially kind and helpful, always with a smile on his face. he even went out of his way to find out the brand of the lovely bath products in our room. 
food in the main restaurant was buffet style, except for the last evening, when most guests had departed. this menu is extensive, well prepared and delicious! there is an emphasis on amazing sri lankan food, but there are sufficient choices to suit even the fussiest diner. we particularly liked the delicious a la carte meal on the last night. there is also a cafe and a seafood restaurant. the friendly, informative head chef, chaluka, told us that where possible the food is sourced locally. so fresh!
we were at the hotel over a weekend and saturday was very busy, with lots of people coming for the night. could be very crowded in peak season. however the staff managed the large numbers very professionally. on sunday we had the pool to ourselves once again!
our room overlooked one of the pools and was well appointed, with comfortable beds and a large bathroom. suitable towel rails are lacking however, with the main one over the toilet. however you can ask for new towels whenever you need them. suranjith decorated our beds every morning with fresh flowers. a lovely touch!
overall an amazing stay, and a great finish to our holiday!",,FALSE,FALSE,FALSE,FALSE,1,150,136,160,128
Nimanthi J,"Colombo, Sri Lanka",Couples,Made our stay unpleasant,5/19/2025,"We checked in to the room not knowing they have given us a twin room. What made us upset was the girl who escorted us to the room Dinushi, the excuse she gave was ""if you checked in early we would have given you a better room"" I was stunned! I immediately told them that we will be checking out the next morning even though we were booked for two nights. It was around 6pm when we checked in and we were too tired after traveling from colombo otherwise I would have definitely checked out the same night. Room was so small and very dirty and old. Bathroom was very small and mind you a huge cockroach was running over our bathroom amenities imagine using rhose tooth brushes and soap and those refill type shampoo bottles which were anyway spilt. I was so upset I cabt tell you how much because we were there to celebrate a birthday. It was all ruined. 
Later on the duty manager came and ask whether we would do a room change and said the hotel was full but we didnt want to trouble the house keeping staff as we were anyway going to check out next morning.
Food at the restaurant was ok but not the best of heritance maybe the reason why was because all the guests were locals. Restaurant staff was good. Friendly. 
Next morning when we came down to the lobby to check out, i cant believe the same girl Dinushi's attitude towards us. Even though I looked at her she made sure to frown at me. Not bothered to atleast talk to us nor apologize. Wow I am from the same industry and I cant imagine the way she acted. Sadned by the fact that we are from the same industry yet we've been disrespected this way.
I am disheartened to write all this because as hotelliers we all have so much expectations from Heritance hotels.",,fr,positive,en,negative,unknown,unknown,made our stay unpleasant,"we checked in to the room not knowing they have given us a twin room. what made us upset was the girl who escorted us to the room dinushi, the excuse she gave was ""if you checked in early we would have given you a better room"" i was stunned! i immediately told them that we will be checking out the next morning even though we were booked for two nights. it was around 6pm when we checked in and we were too tired after traveling from colombo otherwise i would have definitely checked out the same night. room was so small and very dirty and old. bathroom was very small and mind you a huge cockroach was running over our bathroom amenities imagine using rhose tooth brushes and soap and those refill type shampoo bottles which were anyway spilt. i was so upset i cabt tell you how much because we were there to celebrate a birthday. it was all ruined. 
later on the duty manager came and ask whether we would do a room change and said the hotel was full but we didnt want to trouble the house keeping staff as we were anyway going to check out next morning.
food at the restaurant was ok but not the best of heritance maybe the reason why was because all the guests were locals. restaurant staff was good. friendly. 
next morning when we came down to the lobby to check out, i cant believe the same girl dinushi's attitude towards us. even though i looked at her she made sure to frown at me. not bothered to atleast talk to us nor apologize. wow i am from the same industry and i cant imagine the way she acted. sadned by the fact that we are from the same industry yet we've been disrespected this way.
i am disheartened to write all this because as hotelliers we all have so much expectations from heritance hotels.",,TRUE,FALSE,TRUE,TRUE,1,150,136,160,127
Avie,"Singapore, Singapore",Friends,EXTREMELY DISAPPOINTING IN HOSPITALITY,5/19/2025,Same as kandalama heritance also have poor hospitality. They don't care about customers. They act like we came to stay and eat there for free. 😂. After having bad experience in kandalama the I went heritance ahungalla. No difference. So after the bad experience from both heritance hotel I stopped choosing heritance hotel.,,de,negative,en,negative,unknown,unknown,extremely disappointing in hospitality,same as kandalama heritance also have poor hospitality. they don't care about customers. they act like we came to stay and eat there for free. 😂. after having bad experience in kandalama the i went heritance ahungalla. no difference. so after the bad experience from both heritance hotel i stopped choosing heritance hotel.,,TRUE,TRUE,TRUE,TRUE,2,149,136,159,126
Eshara G,"Pannipitiya, Sri Lanka",Family,Another unforgettable holiday,4/19/2025,"Heritance Ahungalla is one of the world class hotels,that one could ever dream of spending a vacation.It’s dreamy atmosphere with a magnificent view of the pool and the beach takes our breath away.As usual we were offered great hospitality,and made our stay extra special.Thanks to all the staff,specially mr Thushara,Nipun,and ms Trilishia and Dinusha for the assistance offered,for our emergency.We will surely visit this paradise again.Thank you,and wish the Heritance team success in their every effort.",,en,negative,en,positive,unknown,unknown,another unforgettable holiday,"heritance ahungalla is one of the world class hotels,that one could ever dream of spending a vacation.it’s dreamy atmosphere with a magnificent view of the pool and the beach takes our breath away.as usual we were offered great hospitality,and made our stay extra special.thanks to all the staff,specially mr thushara,nipun,and ms trilishia and dinusha for the assistance offered,for our emergency.we will surely visit this paradise again.thank you,and wish the heritance team success in their every effort.",,FALSE,FALSE,FALSE,FALSE,1,148,135,158,126
Pavlos T,"Enfield, United Kingdom",Couples,2 week holiday,4/19/2025,"We decided to visit Sri Lanka as 3 couples me and my wife, sister, brother, sister in-law and brother in-law. 
We booked our trip through Tui and decided to book the Heritance Ahungalla as our accommodation. The only problem was that my brother and sister in-law did not book until a week later and did not manage to book this hotel as it became fully booked so they booked into the sister hotel next door which was the Rio which was partly owned by Tui.
Firstly I want to make a comparison between these two hotels the Heritance is more a Sri Lankan style hotel and the Rio is very modern. The rooms in the Heritance are big and comfortable but could do with some updating. It has 2 swimming pools which are very warm. 
There is main restaurant were everbody eats is ok but can get busy and you may sit outside if you wish you can also eat at 2 additional restaurants at a price if you are all inclusive like us you can get a 50% discount. 
You have to be aware that even if you are all inclusive not all drinks are free, usually locally produced drinks are but not here. If you eat in the main restaurant and have drinks its all inclusive soft drinks, beer and wine. If you go out to the bar to watch the entertainment and ask for wine you have to pay not only that but even for a 
cappuccino, even locally produced alcohol. This is not all inclusive!
Be aware the staff at the hotel don't speak very good English not like in the Rio. We found that we had to keep asking the waiters and waitresses continually in the restaurant to get a drink as they kept forgetting, but outside in the bar they were pretty quick to serve you drinks.
I found this to be penny pinching not like in the Rio as the staff would serve you quickly and what ever you wanted at not extra charge as we found out due to my sister in-law paying for us to have all day access to the hotel for her Birthday. 
I would say that its up to the individual on what hotel is better suited for your needs.
Positive if you want peace and quite pick the Heritance if you want modern with everthing included in the all inclusive price pick the Rio your choice.
 Tipping staff is helpfull to get what you want.",,so,negative,en,positive,unknown,unknown,2 week holiday,"we decided to visit sri lanka as 3 couples me and my wife, sister, brother, sister in-law and brother in-law. 
we booked our trip through tui and decided to book the heritance ahungalla as our accommodation. the only problem was that my brother and sister in-law did not book until a week later and did not manage to book this hotel as it became fully booked so they booked into the sister hotel next door which was the rio which was partly owned by tui.
firstly i want to make a comparison between these two hotels the heritance is more a sri lankan style hotel and the rio is very modern. the rooms in the heritance are big and comfortable but could do with some updating. it has 2 swimming pools which are very warm. 
there is main restaurant were everbody eats is ok but can get busy and you may sit outside if you wish you can also eat at 2 additional restaurants at a price if you are all inclusive like us you can get a 50% discount. 
you have to be aware that even if you are all inclusive not all drinks are free, usually locally produced drinks are but not here. if you eat in the main restaurant and have drinks its all inclusive soft drinks, beer and wine. if you go out to the bar to watch the entertainment and ask for wine you have to pay not only that but even for a 
cappuccino, even locally produced alcohol. this is not all inclusive!
be aware the staff at the hotel don't speak very good english not like in the rio. we found that we had to keep asking the waiters and waitresses continually in the restaurant to get a drink as they kept forgetting, but outside in the bar they were pretty quick to serve you drinks.
i found this to be penny pinching not like in the rio as the staff would serve you quickly and what ever you wanted at not extra charge as we found out due to my sister in-law paying for us to have all day access to the hotel for her birthday. 
i would say that its up to the individual on what hotel is better suited for your needs.
positive if you want peace and quite pick the heritance if you want modern with everthing included in the all inclusive price pick the rio your choice.
 tipping staff is helpfull to get what you want.",,FALSE,FALSE,FALSE,FALSE,1,148,135,158,126
Anthony M,"Brighton, United Kingdom",Couples,So it doesn't have a Corby Trouser Press but those who want one are missing the point,2/19/2025,"An awful lot of the people complaining about this hotel are moaning that it 'isn't five star'. As I recall, until fairly recently, a hotel in the UK had to have a Corby Trouser Press in the room to gain that vital fifth star. So maybe people are taking their view of '5 star' from the UK and, if they are then they are probably right - it isn't UK 5 star. But if it was you'd be paying a hell of a lot more than £150/night for it.
It is, by any measure a stunning hotel. Cleverly designed by Geoffrey Bawa this low rise hotel (ground floor and two floors above) is laid out to create a series of separate spaces that never seem crowded (they only have just over 100 rooms). The setting, right on the beach, is terrific and the two giant pools are a delight.
Those people giving it a poor review also complain that it is 'tired'. It would hardly be surprising given the fight against the elements that must be waged to maintain it but I can't agree. The grounds are imaculate and, yes some of the corridors are showing their age but the spacious rooms are absolutely fine.
I've also found the staff to be gracious, charming and attentive. Most Sri Lankans are but here they definitely go the extra kilometre.
And you can't fault the food, especially the buffet breakfast which will set you up for the entire day. The buffet supper is also excellent with a cornucopia of choice and a good selection of wines.
Don't believe the nay sayers, there's nothing wrong with this hotel.",,en,neutral,en,negative,unknown,unknown,so it doesn't have a corby trouser press but those who want one are missing the point,"an awful lot of the people complaining about this hotel are moaning that it 'isn't five star'. as i recall, until fairly recently, a hotel in the uk had to have a corby trouser press in the room to gain that vital fifth star. so maybe people are taking their view of '5 star' from the uk and, if they are then they are probably right - it isn't uk 5 star. but if it was you'd be paying a hell of a lot more than £150/night for it.
it is, by any measure a stunning hotel. cleverly designed by geoffrey bawa this low rise hotel (ground floor and two floors above) is laid out to create a series of separate spaces that never seem crowded (they only have just over 100 rooms). the setting, right on the beach, is terrific and the two giant pools are a delight.
those people giving it a poor review also complain that it is 'tired'. it would hardly be surprising given the fight against the elements that must be waged to maintain it but i can't agree. the grounds are imaculate and, yes some of the corridors are showing their age but the spacious rooms are absolutely fine.
i've also found the staff to be gracious, charming and attentive. most sri lankans are but here they definitely go the extra kilometre.
and you can't fault the food, especially the buffet breakfast which will set you up for the entire day. the buffet supper is also excellent with a cornucopia of choice and a good selection of wines.
don't believe the nay sayers, there's nothing wrong with this hotel.",,FALSE,FALSE,FALSE,FALSE,1,148,135,158,126
