text,action,category
The pasta was overcooked and mushy.,Revise Menu Quality,Food
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Review: The server was rude when I asked for water.,Staff Training (Food),Food
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms
Scum line around the edge of the pool. Terrible.,Pool Maintenance,Recreation
entertainment team was low energy and boring.,Recreation Staff Review,Recreation
No iron or ironing board in the room. Terrible.,Upgrade Room Amenities,Rooms
"Dust everywhere, especially under the bed. Terrible.",Deep Clean & Maintenance,Rooms
Action needed: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Not happy. Minibar was empty and not working.,Upgrade Room Amenities,Rooms
the coffee was burnt and bitter.,Revise Menu Quality,Food
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
called reception but no one answered the phone.,Staff Communication Training,Services
Feedback: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Feedback: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
"Not happy. Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
"Honestly, entertainment team was low energy and boring.",Recreation Staff Review,Recreation
"Honestly, the carpet was stained and smelled of mold.",Deep Clean & Maintenance,Rooms
charged 5 stars price for 1 star food.,Compensate Guest,Food
Review: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Action needed: They couldn't find my booking in the system.,Review Check-in Process,Services
"Honestly, tour guide gave us incorrect historical info.",Recreation Staff Review,Recreation
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food
Review: Charged 5 stars price for 1 star food.,Compensate Guest,Food
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Review: Staff member laughed at my complaint.,Disciplinary Action,Services
everything tastes like frozen food reheated.,Revise Menu Quality,Food
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services
They refused to accept my voucher. Terrible.,Compensate Guest,Food
The room is infested with insects.,Pest Control Investigation,Rooms
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation
Action needed: The coffee was burnt and bitter.,Revise Menu Quality,Food
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
"Feedback: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
"Honestly, housekeeper stole money from my wallet.",Disciplinary Action,Services
"Honestly, pool attendant refused to give me a towel.",Recreation Staff Review,Recreation
Feedback: WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
yoga mats are torn and dirty.,Update Gym Equipment,Recreation
"Honestly, worst dining experience ever, i expect compensation.",Compensate Guest,Food
"Honestly, towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Saw a cockroach near the kitchen entrance. Terrible.,Inspect Kitchen Hygiene,Food
I got food poisoning after eating the seafood. Terrible.,Inspect Kitchen Hygiene,Food
Not happy. Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
i want a refund for this terrible meal.,Compensate Guest,Food
"Honestly, staff speaks very poor english, hard to communicate.",Staff Communication Training,Services
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
"worst dining experience ever, i expect compensation.",Compensate Guest,Food
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
Tiles around the pool are broken and sharp. Terrible.,Pool Maintenance,Recreation
Not happy. Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Review: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food
Review: Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Review: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Action needed: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
unprofessional behavior from the night manager.,Disciplinary Action,Services
WiFi signal is too weak to work in the room. Terrible.,Upgrade Room Amenities,Rooms
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food
Front desk staff gave us wrong information about breakfast. Terrible.,Staff Communication Training,Services
Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Review: Priority check-in for members was not honored.,Review Check-in Process,Services
Review: No water or towels available in the gym.,Update Gym Equipment,Recreation
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation
Review: Staff seemed confused by the check-in software.,Review Check-in Process,Services
saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Staff got my order wrong three times.,Staff Training (Food),Food
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
gym is too small for the number of guests.,Update Gym Equipment,Recreation
Evidence of termites in the wooden furniture. Terrible.,Pest Control Investigation,Rooms
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services
"too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food
Cable machine is stuck and dangerous. Terrible.,Update Gym Equipment,Recreation
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food
Feedback: Staff member laughed at my complaint.,Disciplinary Action,Services
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation
"Honestly, staff speaks very poor english, hard to communicate.",Staff Communication Training,Services
Review: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food
"Honestly, misunderstanding about the room rate caused issues.",Staff Communication Training,Services
Not happy. The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food
Feedback: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Review: Conflicting information from different staff members.,Staff Communication Training,Services
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
"Honestly, pool attendant refused to give me a towel.",Recreation Staff Review,Recreation
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Not happy. Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
No one came to clear our table for 30 minutes. Terrible.,Staff Training (Food),Food
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services
Review: Priority check-in for members was not honored.,Review Check-in Process,Services
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Check-in line was huge and only one counter open. Terrible.,Review Check-in Process,Services
"Review: Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
"Honestly, the coffee was burnt and bitter.",Revise Menu Quality,Food
no iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services
"Feedback: Key cards didn't work, had to go back down.",Review Check-in Process,Services
"Honestly, room wasn't ready at 4 pm check-in time.",Review Check-in Process,Services
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Review: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation
Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation
Action needed: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
"Honestly, the buffet area looked unclean and messy.",Inspect Kitchen Hygiene,Food
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services
Bartender was visibly drunk. Terrible.,Disciplinary Action,Services
Elliptical machine makes a squeaking sound. Terrible.,Update Gym Equipment,Recreation
Not happy. The dessert was stale and dry.,Revise Menu Quality,Food
it took 45 minutes just to check in.,Review Check-in Process,Services
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
Review: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
called reception but no one answered the phone.,Staff Communication Training,Services
Staff was arguing loudly in the hallway. Terrible.,Disciplinary Action,Services
Review: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
"Honestly, beach staff demanded tips for chairs.",Recreation Staff Review,Recreation
system crashed during check-in.,Review Check-in Process,Services
They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Review: The dessert was stale and dry.,Revise Menu Quality,Food
no one came to clear our table for 30 minutes.,Staff Training (Food),Food
they couldn't find my booking in the system.,Review Check-in Process,Services
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
Feedback: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Charged 5 stars price for 1 star food.,Compensate Guest,Food
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Employee was on their phone ignoring guests. Terrible.,Disciplinary Action,Services
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Action needed: Lizard on the ceiling.,Pest Control Investigation,Rooms
The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Action needed: Cockroach in the shower.,Pest Control Investigation,Rooms
"Honestly, i want a refund for this terrible meal.",Compensate Guest,Food
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation
"Honestly, evidence of termites in the wooden furniture.",Pest Control Investigation,Rooms
Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
the tv is tiny and has no channels.,Upgrade Room Amenities,Rooms
Action needed: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Feedback: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms
Saw ants marching across the bathroom sink. Terrible.,Pest Control Investigation,Rooms
Not happy. Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Feedback: The pool water was cloudy and green.,Pool Maintenance,Recreation
"Honestly, we waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
"Honestly, staff seemed confused by the check-in software.",Review Check-in Process,Services
Review: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Feedback: Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Not happy. Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
the menu options are very limited and boring.,Revise Menu Quality,Food
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services
"Honestly, service in the restaurant was incredibly slow.",Staff Training (Food),Food
activity director was rude to the guests.,Recreation Staff Review,Recreation
Review: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
"Honestly, the carpet was stained and smelled of mold.",Deep Clean & Maintenance,Rooms
Not happy. They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Review: Cockroach in the shower.,Pest Control Investigation,Rooms
The coffee was burnt and bitter. Terrible.,Revise Menu Quality,Food
"Honestly, the coffee was burnt and bitter.",Revise Menu Quality,Food
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food
conflicting information from different staff members.,Staff Communication Training,Services
Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
The room is infested with insects.,Pest Control Investigation,Rooms
"Honestly, the dessert was stale and dry.",Revise Menu Quality,Food
Feedback: The dessert was stale and dry.,Revise Menu Quality,Food
Action needed: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
"Dust everywhere, especially under the bed. Terrible.",Deep Clean & Maintenance,Rooms
Not happy. We were promised a complimentary drink but never got it.,Compensate Guest,Food
"Honestly, tiles around the pool are broken and sharp.",Pool Maintenance,Recreation
Review: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Feedback: No supervision in the children's play area.,Recreation Staff Review,Recreation
Feedback: Concierge was unable to give simple directions.,Staff Communication Training,Services
Flies buzzing around the room constantly. Terrible.,Pest Control Investigation,Rooms
Debris and leaves floating in the water. Terrible.,Pool Maintenance,Recreation
"Action needed: Key cards didn't work, had to go back down.",Review Check-in Process,Services
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
They demanded a cash deposit unexpectedly. Terrible.,Review Check-in Process,Services
staff seemed confused by the check-in software.,Review Check-in Process,Services
Action needed: The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Not happy. Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Curtains were dusty and triggered my allergies. Terrible.,Deep Clean & Maintenance,Rooms
Action needed: Lobby is chaotic and disorganized.,Review Check-in Process,Services
"Honestly, waiters were ignoring us and chatting among themselves.",Staff Training (Food),Food
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
"Honestly, cable machine is stuck and dangerous.",Update Gym Equipment,Recreation
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
Pool ladders are loose and dangerous. Terrible.,Pool Maintenance,Recreation
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
Review: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
"Honestly, saw ants marching across the bathroom sink.",Pest Control Investigation,Rooms
Feedback: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Feedback: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
they demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms
"towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Review: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
"Honestly, the tv is tiny and has no channels.",Upgrade Room Amenities,Rooms
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
"Honestly, not enough vegetarian or vegan options.",Revise Menu Quality,Food
"Review: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: Bike seat is broken.,Update Gym Equipment,Recreation
"Honestly, no iron or ironing board in the room.",Upgrade Room Amenities,Rooms
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
Not happy. Everything tastes like frozen food reheated.,Revise Menu Quality,Food
The dessert was stale and dry. Terrible.,Revise Menu Quality,Food
there was a spider on the pillow.,Pest Control Investigation,Rooms
the carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
I got food poisoning after eating the seafood. Terrible.,Inspect Kitchen Hygiene,Food
Gym is too small for the number of guests.,Update Gym Equipment,Recreation
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
the presentation of the dishes was poor.,Revise Menu Quality,Food
Action needed: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Review: They couldn't find my booking in the system.,Review Check-in Process,Services
Not happy. Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Review: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Found trash from previous guests in the drawer. Terrible.,Deep Clean & Maintenance,Rooms
Not happy. Conflicting information from different staff members.,Staff Communication Training,Services
Staff was arguing loudly in the hallway. Terrible.,Disciplinary Action,Services
Not happy. Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Review: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
"Honestly, towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Not happy. I want a refund for this terrible meal.,Compensate Guest,Food
Found trash from previous guests in the drawer. Terrible.,Deep Clean & Maintenance,Rooms
Feedback: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Not happy. They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Review: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Not happy. They charged us for items we didn't order.,Compensate Guest,Food
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation
Feedback: Concierge was unable to give simple directions.,Staff Communication Training,Services
Review: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
The presentation of the dishes was poor.,Revise Menu Quality,Food
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
the hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
the room is infested with insects.,Pest Control Investigation,Rooms
there was a strange object in the soup.,Inspect Kitchen Hygiene,Food
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
restaurant manager was shouting at the staff.,Staff Training (Food),Food
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
"Honestly, bartender was visibly drunk.",Disciplinary Action,Services
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Feedback: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Review: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms
Review: Debris and leaves floating in the water.,Pool Maintenance,Recreation
Seasonal dishes listed on the menu were not available. Terrible.,Revise Menu Quality,Food
no water or towels available in the gym.,Update Gym Equipment,Recreation
Action needed: Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Review: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
gym is too small for the number of guests.,Update Gym Equipment,Recreation
Waiters were ignoring us and chatting among themselves. Terrible.,Staff Training (Food),Food
The dessert was stale and dry.,Revise Menu Quality,Food
not enough weights for a proper workout.,Update Gym Equipment,Recreation
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation
the steak was tough and flavorless.,Revise Menu Quality,Food
They refused to accept my voucher. Terrible.,Compensate Guest,Food
glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Yoga mats are torn and dirty. Terrible.,Update Gym Equipment,Recreation
Action needed: Staff member laughed at my complaint.,Disciplinary Action,Services
Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services
The presentation of the dishes was poor. Terrible.,Revise Menu Quality,Food
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
Action needed: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
the hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Review: Unprofessional behavior from the night manager.,Disciplinary Action,Services
front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
"Honestly, charged 5 stars price for 1 star food.",Compensate Guest,Food
"Honestly, minibar was empty and not working.",Upgrade Room Amenities,Rooms
Review: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
 Filtration system was making a loud noise. Terrible.,Pool Maintenance,Recreation
Not happy. Staff seemed confused by the check-in software.,Review Check-in Process,Services
Minibar was empty and not working. Terrible.,Upgrade Room Amenities,Rooms
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food
"pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Action needed: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
No water or towels available in the gym. Terrible.,Update Gym Equipment,Recreation
"Honestly, the hostess was welcoming but the servers were grumpy.",Staff Training (Food),Food
"Honestly, no one told us about the construction noise.",Staff Communication Training,Services
they couldn't find my booking in the system.,Review Check-in Process,Services
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food
Concierge was unable to give simple directions.,Staff Communication Training,Services
Service in the restaurant was incredibly slow. Terrible.,Staff Training (Food),Food
Priority check-in for members was not honored.,Review Check-in Process,Services
Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Review: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
"Honestly, service in the restaurant was incredibly slow.",Staff Training (Food),Food
Action needed: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation
Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Action needed: The steak was tough and flavorless.,Revise Menu Quality,Food
our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
Not happy. Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Staff didn't know the ingredients of the dishes. Terrible.,Staff Training (Food),Food
Not happy. The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Not enough vegetarian or vegan options. Terrible.,Revise Menu Quality,Food
Feedback: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Feedback: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"Worst dining experience ever, I expect compensation.",Compensate Guest,Food
there was a spider on the pillow.,Pest Control Investigation,Rooms
Not happy. Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food
Feedback: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Action needed: They couldn't find my booking in the system.,Review Check-in Process,Services
Service in the restaurant was incredibly slow. Terrible.,Staff Training (Food),Food
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms
Review: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Feedback: The menu options are very limited and boring.,Revise Menu Quality,Food
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Seasonal dishes listed on the menu were not available. Terrible.,Revise Menu Quality,Food
Review: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
The sheets had spots and didn't look fresh. Terrible.,Deep Clean & Maintenance,Rooms
cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
Yoga mats are torn and dirty. Terrible.,Update Gym Equipment,Recreation
Action needed: Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Review: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Feedback: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
"Honestly, glass had lipstick marks on it.",Inspect Kitchen Hygiene,Food
Review: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Staff didn't know the ingredients of the dishes. Terrible.,Staff Training (Food),Food
Yoga mats are torn and dirty. Terrible.,Update Gym Equipment,Recreation
Review: The steak was tough and flavorless.,Revise Menu Quality,Food
Review: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Action needed: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Asked for no onions but got onions anyway. Terrible.,Staff Training (Food),Food
concierge was unable to give simple directions.,Staff Communication Training,Services
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
"dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Feedback: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
No water or towels available in the gym. Terrible.,Update Gym Equipment,Recreation
Feedback: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Action needed: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Review: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Review: Called reception but no one answered the phone.,Staff Communication Training,Services
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services
Review: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Review: The dessert was stale and dry.,Revise Menu Quality,Food
Feedback: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Saw ants marching across the bathroom sink. Terrible.,Pest Control Investigation,Rooms
"Honestly, scum line around the edge of the pool.",Pool Maintenance,Recreation
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation
Action needed: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Housekeeper stole money from my wallet. Terrible.,Disciplinary Action,Services
gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
